address,coordinate
Reşadiye Mahallesi/KOCAGÖZ KUYU SK.,"41.070574, 29.247466"
Reşadiye Mahallesi/KÖSEPINAR SK.,"41.070248, 29.254104"
Reşadiye Mahallesi/MANDIRA SK. SK.,"41.082912, 29.269735"
Reşadiye Mahallesi/MUKADDES SK.,"41.069568, 29.244465"
Reşadiye Mahallesi/NUR SK.,"41.080485, 29.258452"
Reşadiye Mahallesi/PAPELİN SK.,"41.068922, 29.243387"
Reşadiye Mahallesi/PLATİN ÇK. SK.,"41.072994, 29.252398"
Reşadiye Mahallesi/SAFRAN ÇK. SK.,"41.070472, 29.255640"
Reşadiye Mahallesi/SEVİM ÇK. SK.,"41.084550, 29.251472"
Reşadiye Mahallesi/ŞEHİT MURAT SK.,"41.076189, 29.260150"
Reşadiye Mahallesi/ŞİFA SK.,"41.074578, 29.248041"
Reşadiye Mahallesi/ŞİMAL ÇK. SK.,"41.072852, 29.246424"
Reşadiye Mahallesi/UZUN ÇK. SK.,"41.081274, 29.256260"
Reşadiye Mahallesi/YADİGAR SK.,"41.066305, 29.248095"
Reşadiye Mahallesi/YAYLA SK.,"41.069541, 29.243405"
Reşadiye Mahallesi/YEŞİLAY ÇK. SK.,"41.087065, 29.251966"
Reşadiye Mahallesi/YEŞİLVADİ SK.,"41.077651, 29.248598"
Reşadiye Mahallesi/ZEMZEM SK.,"41.082797, 29.250134"
Reşadiye Mahallesi/ZERDE ÇK. SK.,"41.083843, 29.267507"
Reşadiye Mahallesi/ZÜLAL SK.,"41.068236, 29.246424"
Başıbüyük Mahallesi/BAŞIBÜYÜK CD.,"40.956582, 29.145723"
Başıbüyük Mahallesi/EMEK CD.,"40.942913, 29.164147"
Başıbüyük Mahallesi/ESER CD.,"40.955601, 29.150169"
Başıbüyük Mahallesi/ESKİCİBAĞ CD.,"40.958938, 29.152685"
Başıbüyük Mahallesi/GÜRLER CD.,"40.957883, 29.148795"
Başıbüyük Mahallesi/KARANFİL CD.,"40.954144, 29.147340"
Başıbüyük Mahallesi/MEZARLIK CD.,"40.958823, 29.144231"
Başıbüyük Mahallesi/TEKKE CD.,"40.960716, 29.147393"
Başıbüyük Mahallesi/TRAFO CD.,"40.955792, 29.151786"
Başıbüyük Mahallesi/ACAR SK.,"40.957522, 29.148400"
Başıbüyük Mahallesi/AKÇAN SK.,"40.958074, 29.145525"
Başıbüyük Mahallesi/ASLANOĞLU SK.,"40.956603, 29.149945"
Başıbüyük Mahallesi/AY SK.,"40.958516, 29.153439"
Başıbüyük Mahallesi/AYDIN SK.,"40.958114, 29.154113"
Başıbüyük Mahallesi/AYGÜL SK.,"40.959204, 29.152217"
Başıbüyük Mahallesi/BAHÇE SK.,"40.956208, 29.144267"
Başıbüyük Mahallesi/BARAJ SK.,"40.952666, 29.152011"
Başıbüyük Mahallesi/BAYIR SK.,"40.957903, 29.154598"
Başıbüyük Mahallesi/BEYZADE SK.,"40.954873, 29.174478"
Başıbüyük Mahallesi/BUSE SK.,"40.955561, 29.174217"
Başıbüyük Mahallesi/CAMİALTI SK.,"40.958339, 29.146962"
Başıbüyük Mahallesi/ÇAKIR SK.,"40.959388, 29.155999"
Başıbüyük Mahallesi/ÇALIKUŞU SK.,"40.954737, 29.149774"
Başıbüyük Mahallesi/ÇAMLIK SK.,"40.954382, 29.146630"
Başıbüyük Mahallesi/ÇİĞDEM SK.,"40.961744, 29.145040"
Başıbüyük Mahallesi/DAĞLAR SK.,"40.956398, 29.147070"
Başıbüyük Mahallesi/DİK SK.,"40.958353, 29.152397"
Başıbüyük Mahallesi/DÜŞ SK.,"40.955302, 29.154319"
Başıbüyük Mahallesi/ELİF SK.,"40.960307, 29.145588"
Başıbüyük Mahallesi/EMEL SK.,"40.987180, 29.123849"
Başıbüyük Mahallesi/ENGİN SK.,"40.957583, 29.150035"
Başıbüyük Mahallesi/EREN SK.,"40.955601, 29.150169"
Başıbüyük Mahallesi/ERİK SK.,"40.957079, 29.145768"
Başıbüyük Mahallesi/ERKAM SK.,"40.959218, 29.150277"
Başıbüyük Mahallesi/ERKAN SK.,"40.957753, 29.151463"
Başıbüyük Mahallesi/FAL SK.,"40.954042, 29.170256"
Başıbüyük Mahallesi/FIRIN SK.,"40.954464, 29.145552"
Başıbüyük Mahallesi/FİDAN SK.,"40.956548, 29.143935"
Başıbüyük Mahallesi/FİLİZ SK.,"40.956412, 29.144519"
Başıbüyük Mahallesi/GAZEL SK.,"40.960307, 29.145588"
Başıbüyük Mahallesi/GÖKSEL SK.,"40.957086, 29.147627"
Başıbüyük Mahallesi/GÖZDE SK.,"40.959885, 29.144950"
Başıbüyük Mahallesi/GÜL SK.,"40.956929, 29.150789"
Başıbüyük Mahallesi/GÜNER SK.,"40.957604, 29.151202"
Başıbüyük Mahallesi/GÜNEŞ SK.,"40.956773, 29.151598"
Başıbüyük Mahallesi/HACİVAT SK.,"40.957038, 29.154454"
Başıbüyük Mahallesi/HALİT BEY SK.,"40.954382, 29.146630"
Başıbüyük Mahallesi/HANDAN SK.,"40.960130, 29.172654"
Başıbüyük Mahallesi/HASTANE ARKASI SK.,"40.953470, 29.143953"
Başıbüyük Mahallesi/HERCAİ SK.,"40.955343, 29.172430"
Başıbüyük Mahallesi/HİLAL SK.,"40.954042, 29.170256"
Başıbüyük Mahallesi/KARAMAN SK.,"40.953872, 29.145983"
Başıbüyük Mahallesi/KARTAL SK.,"40.961710, 29.146055"
Başıbüyük Mahallesi/KAYA SK.,"40.956855, 29.147241"
Başıbüyük Mahallesi/KAYSUK SK.,"40.957038, 29.147034"
Başıbüyük Mahallesi/KEHRİBAR SK.,"40.955806, 29.144276"
Başıbüyük Mahallesi/KESKİNLER SK.,"40.958938, 29.150511"
Başıbüyük Mahallesi/KETEN SK.,"40.955949, 29.169537"
Başıbüyük Mahallesi/KILIÇ SK.,"40.958475, 29.152577"
Başıbüyük Mahallesi/KORKMAZ SK.,"40.953729, 29.153601"
Başıbüyük Mahallesi/KUZGUN SK.,"40.953817, 29.171432"
Başıbüyük Mahallesi/LALE SK.,"40.956487, 29.144941"
Başıbüyük Mahallesi/MADEN SK.,"40.959129, 29.151454"
Başıbüyük Mahallesi/MAĞARA TEPE SK.,"40.955261, 29.153277"
Başıbüyük Mahallesi/MANOLYA SK.,"40.959129, 29.151454"
Başıbüyük Mahallesi/MELİKOĞLU SK.,"40.955418, 29.143926"
Başıbüyük Mahallesi/MENEKŞE ÇK. SK.,"40.953483, 29.151364"
Başıbüyük Mahallesi/MENEKŞE SK.,"40.959204, 29.152217"
Başıbüyük Mahallesi/MERVE SK.,"40.957045, 29.156700"
Başıbüyük Mahallesi/MUZAFFER SK.,"40.955738, 29.154544"
Başıbüyük Mahallesi/NİL SK.,"40.952373, 29.148714"
Başıbüyük Mahallesi/OKUL SK.,"40.967627, 29.122968"
Başıbüyük Mahallesi/ORMAN SK.,"40.961254, 29.147861"
Başıbüyük Mahallesi/ÖZEN SK.,"40.959585, 29.156475"
Başıbüyük Mahallesi/ÖZTÜRK SK.,"40.960695, 29.146109"
Başıbüyük Mahallesi/PAMUK SK.,"40.954103, 29.153358"
Başıbüyük Mahallesi/PAPATYA SK.,"40.959354, 29.145426"
